time,power,temperature,humidity,speed
2013/9/1 0:00,796.67,0.72,0.8,0.23
2013/9/1 1:00,758.81,0.72,0.8,0.23
2013/9/1 2:00,720.8,0.72,0.8,0.23
2013/9/1 3:00,708.82,0.72,0.8,0.15
2013/9/1 4:00,726.79,0.69,0.8,0.15
2013/9/1 5:00,758.74,0.69,0.87,0.15
2013/9/1 6:00,780.7,0.69,0.87,0.15
2013/9/1 7:00,830.77,0.72,0.8,0.15
2013/9/1 8:00,872.55,0.77,0.7,0.23
2013/9/1 9:00,864.56,0.79,0.66,0.31
2013/9/1 10:00,900.58,0.85,0.56,0.23
2013/9/1 11:00,968.39,0.85,0.52,0.23
2013/9/1 12:00,1136.11,0.87,0.48,0.08
2013/9/1 13:00,1100.17,0.87,0.52,0.15
2013/9/1 14:00,1006.32,0.87,0.48,0.31
2013/9/1 15:00,1052.25,0.87,0.52,0.46
2013/9/1 16:00,892.68,0.85,0.52,0.46
2013/9/1 17:00,892.51,0.85,0.52,0.38
2013/9/1 18:00,911.87,0.82,0.56,0.31
2013/9/1 19:00,903.33,0.79,0.66,0.31
2013/9/1 20:00,926.55,0.77,0.7,0.31
2013/9/1 21:00,890.52,0.77,0.7,0.23
2013/9/1 22:00,822.63,0.74,0.8,0.15
2013/9/1 23:00,768.72,0.74,0.8,0.23
2013/9/2 0:00,750.75,0.74,0.8,0.23
2013/9/2 1:00,716.94,0.74,0.87,0.15
2013/9/2 2:00,712.77,0.74,0.87,0.15
2013/9/2 3:00,684.86,0.74,0.8,0.15
2013/9/2 4:00,728.79,0.74,0.8,0.15
2013/9/2 5:00,742.81,0.72,0.87,0.08
2013/9/2 6:00,758.74,0.74,0.8,0
2013/9/2 7:00,816.79,0.74,0.87,0.23
2013/9/2 8:00,884.53,0.74,0.87,0.23
2013/9/2 9:00,954.41,0.79,0.76,0.23
2013/9/2 10:00,962.4,0.82,0.7,0.15
2013/9/2 11:00,1160.14,0.87,0.61,0.23
2013/9/2 12:00,1190.02,0.87,0.56,0.38
